20	20	72	36	42.3453	0
23	32	96	36	35.1792	0
26	36	96	64	34.5277	0
29	48	120	48	36.4821	0
32	68	140	68	34.202	0
35	44	144	60	44.6254	0
38	52	144	72	45.6026	0.814332
41	76	156	68	41.6938	0
44	44	152	64	42.671	0
47	64	168	52	39.7394	0


50	4	84	152	37.785	0
55	0	100	112	45.2769	0
60	8	124	120	42.671	0
65	12	116	136	42.671	2.443
70	20	136	84	49.5114	2.443
75	16	148	136	46.5798	1.62866
80	28	160	76	69.0554	4.88599
85	32	168	80	103.583	7.32899
90	44	176	104	113.681	7.32899
95	44	176	72	144.951	13.8436
