# TStellate_CT1 Optimisation
# Monday 5 November  22:42:01 EST 2012
 
#param.w.x[lsr][ts] = 0.0033	[1e-07,0.3]
#param.w.x[hsr][ts] = 0.0028039	[1e-07,0.3]
#param.w.x[ds][ts] = 0.000122	[1e-07,0.3]
#param.w.x[tv][ts] = 0.000178	[1e-07,0.3]
#param.w.x[glg][ts] = 0.00016	[1e-07,0.3]
#param.ts_gleak = 0.000473539	[5e-05,0.005]
#param.ts_erev = -62.9	[0.03,0.08]
# final error=14.550335
# Time	Error Vec	 Reference Vec (mV)
-2.90	-55.973405	-59.705893
-2.80	-55.975480	-59.649546
-2.70	-55.977555	-59.597776
-2.60	-55.979630	-59.554339
-2.50	-55.981705	-59.519366
-2.40	-55.983779	-59.494281
-2.30	-55.985854	-59.479061
-2.20	-55.987929	-59.471130
-2.10	-55.990004	-59.465057
-2.00	-55.992079	-59.458441
-1.90	-55.994153	-59.455202
-1.80	-55.996228	-59.455674
-1.70	-55.998303	-59.457574
-1.60	-56.000378	-59.460963
-1.50	-56.002453	-59.467374
-1.40	-56.004527	-59.476962
-1.30	-56.006602	-59.485787
-1.20	-56.008677	-59.487794
-1.10	-56.010752	-59.478676
-1.00	-56.012827	-59.457666
-0.90	-56.014901	-59.427492
-0.80	-56.016976	-59.392107
-0.70	-56.019051	-59.352175
-0.60	-56.021126	-59.308006
-0.50	-56.023201	-59.262161
-0.40	-56.025276	-59.214991
-0.30	-56.027350	-59.168256
-0.20	-56.029425	-59.126366
-0.10	-56.031500	-59.087981
0.00	-56.033575	-59.052295
0.10	-56.035650	-59.024195
0.20	-56.037724	-58.998968
0.30	-56.039799	-58.973831
0.40	-56.041874	-58.956074
0.50	-56.033672	-58.947429
0.60	-55.969519	-58.949799
0.70	-55.905366	-58.966622
0.80	-55.841213	-58.997101
0.90	-55.777060	-59.034394
1.00	-55.712907	-59.072637
1.10	-55.648754	-59.110151
1.20	-55.584602	-59.133482
1.30	-55.520449	-59.138353
1.40	-55.456296	-59.132771
1.50	-55.392143	-59.119515
1.60	-55.327990	-59.104310
1.70	-55.263837	-59.088002
1.80	-55.199684	-59.066886
1.90	-55.135531	-59.035585
2.00	-55.071378	-58.973599
2.10	-55.007225	-58.799286
2.20	-54.480783	-58.622153
2.30	-53.950478	-58.651382
2.40	-53.420173	-58.885823
2.50	-52.889869	-59.193559
2.60	-52.359564	-59.426365
2.70	-51.217425	-59.567465
2.80	-50.023672	-59.658213
2.90	-48.829918	-59.725228
3.00	-46.077058	-59.778886
3.10	-42.945714	-59.821561
3.20	-42.572380	-59.856234
3.30	-34.413766	-59.888059
3.40	-33.553275	-59.919777
3.50	-32.692784	-59.952795
3.60	-31.870884	-59.989371
3.70	-32.771927	-60.028469
3.80	-33.672970	-60.062281
3.90	-34.986349	-60.085168
4.00	-36.317989	-60.096267
4.10	-37.649629	-60.099743
4.20	-38.981269	-60.100596
